0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:50:48 +0530] "POST /ServletProject/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:50:48 +0530] "GET /ServletProject/welcome HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:52:02 +0530] "GET /ServletProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:52:04 +0530] "POST /ServletProject/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:52:04 +0530] "GET /ServletProject/welcome.html HTTP/1.1" 200 497
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:52:10 +0530] "GET /ServletProject/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:52:12 +0530] "POST /ServletProject/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:52:12 +0530] "GET /ServletProject/welcome.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:52:30 +0530] "GET /ServletProject/ HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:52:33 +0530] "POST /ServletProject/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:52:33 +0530] "GET /ServletProject/welcome.html HTTP/1.1" 200 506
0:0:0:0:0:0:0:1 - - [02/Nov/2022:02:52:42 +0530] "GET /ServletProject/welcome.html HTTP/1.1" 200 497
